feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio,skewness,kurtosis
wavelet-HLL_gldm_SmallDependenceEmphasis,0.002396382334119958,0.08944560222327709,0.008440782720863375,0.024262295081967214,0.17573770491803278,6.77092918866093,64.76979682081647
wavelet-LLH_glcm_SumSquares,0.0023936077047322568,0.15400737315416335,0.011083286677852034,0.018360655737704918,0.18163934426229508,9.676497159587921,115.44190882342352
log-sigma-4-0-mm-3D_firstorder_Minimum,0.0023918207421471356,0.11665967561304569,0.008388117908140045,0.21967213114754097,0.18032786885245902,6.667109419003282,111.40447827575376
logarithm_glszm_SmallAreaLowGrayLevelEmphasis,0.002380288833330896,0.034596453085541726,0.006643922475776733,0.050491803278688525,0.14950819672131146,3.2600459197251297,15.282531645558322
square_gldm_DependenceNonUniformity,0.0023700745723530797,0.04780366193503141,0.006785649517067058,0.06360655737704918,0.13639344262295083,2.918094836928047,23.316626544103862
log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.002369173760794592,0.0941560946777463,0.008386733020445973,0.09704918032786886,0.10295081967213114,4.130654670775606,49.02256658524758
wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,0.0023502292437631517,0.048456957936286925,0.0072682517997529955,0.04,0.16,4.628387984537204,27.271243257010603
log-sigma-4-0-mm-3D_ngtdm_Coarseness,0.0023413502091999805,0.043852142952382565,0.006885155412111516,0.07934426229508197,0.12065573770491804,0.4153679685995999,19.318295252772284
squareroot_glcm_Correlation,0.002339671799638235,0.05989146463572979,0.007539937392917905,0.11475409836065574,0.08524590163934426,-2.4085538446533414,34.349679541508245
wavelet-LHL_glcm_JointEntropy,0.002323874449974198,0.16059867396950722,0.010646889879223905,0.06163934426229508,0.13836065573770492,6.477476156126647,139.47169696615006
square_gldm_LargeDependenceEmphasis,0.0023064358739884683,0.04802333578467369,0.0057688982596694706,0.21508196721311476,0.18491803278688523,0.30589312292642246,32.025578419169264
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.002305258222492259,0.028205602783709764,0.005968514239378305,0.10229508196721311,0.09770491803278689,-0.8821592277643543,10.95472492617409
original_shape_Flatness,0.0023051513320109843,0.026180861573666333,0.005765823459448675,0.09508196721311475,0.10491803278688525,1.4890393216179525,9.127263268551628
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.002303261748579196,0.02077815217897296,0.0054917833140740325,0.10032786885245902,0.09967213114754099,-0.2458256017625229,6.801472526397166
wavelet-LLL_gldm_DependenceNonUniformity,0.0022913350772540034,0.025453632790595294,0.005674910326411657,0.12786885245901639,0.07213114754098361,-2.120397568263274,9.331741745366752
wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,0.002281918669492005,0.07173829004168511,0.007986260971931138,0.15672131147540982,0.043278688524590166,-5.764154255734281,45.71357723989364
wavelet-HHH_glszm_LargeAreaEmphasis,0.0022796486083845554,0.0314387522265315,0.005872293782002211,0.05311475409836065,0.14688524590163934,2.808231572779583,13.75106102383031
wavelet-HHL_firstorder_10Percentile,0.0022694855088795534,0.036636589542031285,0.006060825285761879,0.14032786885245901,0.05967213114754098,-2.3197723330495283,15.494488753302495
squareroot_glcm_Autocorrelation,0.0022660857909832305,0.08537920627743006,0.008570310013123823,0.021639344262295083,0.17836065573770493,6.645493111055006,53.42382154286375
wavelet-LLH_gldm_LargeDependenceEmphasis,0.0022462584620341623,0.08258149944245816,0.008011832078084867,0.16852459016393442,0.031475409836065574,-6.79093876089002,63.412619675817965
log-sigma-5-0-mm-3D_glrlm_RunEntropy,0.002245779224888218,0.10979843080043793,0.008023955215829184,0.02819672131147541,0.1718032786885246,6.694773768819013,82.44257983663942
log-sigma-1-0-mm-3D_ngtdm_Coarseness,0.0022441742556139105,0.04463516622781753,0.006755012128685675,0.16262295081967212,0.037377049180327866,-4.095650769005318,25.947737234461755
lbp-3D-k_gldm_DependenceNonUniformity,0.002240889925448611,0.09220881253480911,0.010172318949076687,0.012459016393442624,0.18754098360655738,8.156771224150308,69.64436897831727
wavelet-LHL_glcm_MCC,0.002239407867278725,0.08648058913648128,0.009329555751196315,0.08918032786885247,0.11081967213114755,-2.664223036307055,43.667354233890194
square_glcm_DifferenceVariance,0.0022341164678335123,0.021720576770603656,0.005305525592086535,0.0839344262295082,0.1160655737704918,1.3120334925848374,6.928252597401654
log-sigma-5-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.0022157635795288415,0.05577289197593927,0.006676064922886359,0.13508196721311475,0.06491803278688525,-2.870554719417632,26.922797938645722
lbp-3D-k_glrlm_RunVariance,0.0022145954770616204,0.10754431508481503,0.010378162893398678,0.17901639344262296,0.02098360655737705,-7.864578381676286,67.73648408163062
wavelet-LHH_glrlm_GrayLevelVariance,0.002203965240106228,0.04850726243108511,0.0072642832749951385,0.05180327868852459,0.1481967213114754,4.498140673342963,26.511973358801345
wavelet-HHL_firstorder_90Percentile,0.0021813540392478926,0.053071181923151016,0.007472003106435955,0.09967213114754099,0.10032786885245902,-1.5570515417140198,33.01259504454464
log-sigma-1-0-mm-3D_ngtdm_Contrast,0.0021721400966348684,0.03299303658306599,0.005795656839511763,0.12327868852459016,0.07672131147540984,-2.298168019370741,14.875932533819629
original_gldm_LowGrayLevelEmphasis,0.0021684282402523168,0.07275423131883145,0.007076162695299579,0.04918032786885246,0.15081967213114755,4.610314188450288,50.87728197955019
wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,0.0021435208783714033,0.07999268680810928,0.008030688993908311,0.13508196721311475,0.06491803278688525,-5.425337793958345,50.741450464544116
wavelet-HLH_glszm_LargeAreaLowGrayLevelEmphasis,0.002136863891218529,0.11762496501207352,0.009385608020343968,0.12786885245901639,0.07213114754098361,-5.451149952728628,95.9457297833688
